year,growth_rate,heatwaves_prev,avgTemp_prev,abundance_prev
1981,-0.20106514369306416,34,9.64381985599051,135
1982,-0.22918238655849188,17,8.534039599274966,84.6
1983,-0.34535653111820763,39,10.62481196155288,49.5
1984,0.10446315089850233,42,10.160807316681096,21.8
1985,-0.32885908952873866,16,8.76872922296394,28
1986,0.1383026981662816,22,8.583224278280197,12.6
1987,0.36364214027841313,18,8.131245652290254,17.7
1988,0.06694678963061307,27,10.016147409241087,42.2
1989,0.24155833862824672,55,10.897073029818626,49.4
1990,-0.19040581618086527,81,11.6561572767284,86.9
1991,0.1500494571913309,24,9.669416788179593,55.7
1992,-0.11546414494306978,62,11.706419130752671,79.1
1993,-0.05819408544161209,39,10.463831235284696,60.4
1994,-0.45813267916305667,13,8.564130140330725,52.7
1995,-0.07318451958207639,48,10.776714669841624,17.7
1996,0.2078830934795326,40,9.131759751950467,14.8
1997,0.16516865137473236,50,10.325805329623304,24.5
1998,-0.10336150139653033,60,10.771860953553118,36.3
1999,0.294331233315279,19,9.309751662162903,28.4
2000,-0.3093602236803985,60,11.272249590764304,56.9
2001,0.18914618019508356,26,9.983921207793784,27.4
2002,-0.12263652646640244,58,11.16920324874255,42.9
2003,-0.29711152262813556,65,9.871771073014799,32.1
2004,0.21344617589317272,47,10.872686900988315,15.7
2005,-0.11394335230683672,40,10.63681439961475,26.3
2006,-0.20827594242708258,48,10.161096776674905,20
2007,0.592774430029922,102,12.551446784032567,12
2008,-0.4256844150890311,53,11.072641574880485,49.9
2009,0.34633248934500505,42,10.579373127140427,18.1
2010,-0.13740737716789808,14,8.816960081335642,41.4
2011,0.06754872248082333,22,9.19096947238873,29.9
2012,0.026824022461872765,61,11.002853376878443,35.1
2013,-0.2498774732165998,7,9.089200957833937,37.4
2014,-0.29306106599270576,50,11.534470649614763,20.6
2015,0.5076105768675627,50,11.177286895333916,10
2016,-0.7636734270150208,54,11.0430712090164,34.4
2017,0.1440890907035257,39,10.781906838613036,5.1
2018,0.31855434064751387,42,10.821260969606179,7.5
